,Title,Price,Bedrooms,SqFt,Location
560,Detached House on King Edward - Vancouver West Side - Dunbar Home,4250,6,2600,"King Edward Avenue, West Vancouver"
561,AVAILABLE January 1st - Pet Allowed FURNISHED 2 Bedroom @1088 Richards,2800,2,657,"Homer Street, Yaletown"
562,(VISTA REALTY.NET) Gorgeous Coach House on Yale Street Available,2500,NA,643,Yale Street
563,AVAILABLE January 1st -PET FRIENDLY FURNISHED Studio @ Pendrell x Bute,1800,NA,453,Barclay Street
564,Pet Permitted Furnished Studio at Pendrell X Bute-Available Jan 1st,1800,NA,453,Pendrell Street
565,$1700 / 1br - 550ft - Beautiful 1 BD available @ 2300 Kingsway,1700,1,550,NA
566,Beautiful 2 Beds 2 Baths 4-plex for rent,3000,2,1085,E 7th Avenue
567,AVAILABLE NOW-PET PERMITTED FURNISHED 1 BEDROOM@ Pendrell x Bute,1900,1,500,Barclay Street
568,AVAILABLE January 1st -PET WELCOME FURNISHED Studio @ Pendrell x Bute,1800,NA,453,Barclay Street
569,PET FRIENDLY FURNISHED STUDIO @ Pendrell x Bute Available January  1st,1800,NA,453,Bute Street
570,AVAILABLE NOW - PET PERMITTED FURNISHED 1 BEDROOM@ Pendrell x Bute,1900,1,500,Barclay Street
571,AVAILABLE January 1st-PET FRIENDLY FURNISHED Studio @ Pendrell x Bute,1800,NA,453,Barclay Street
572,"Available November 2 bdrm , heat hot water included North Vancouver",2505,2,NA,North Vancouver
573,Nicely Furnished 2 Bedroom + Den 1088 Richards - Available Jan 1st,2800,2,657,Richards Street
574,AVAILABLE Jan 1st -Pet Permitted FURNISHED 2 Bedroom @1088 Richards,2800,2,657,"Homer Street, Yaletown"
575,Pet Allowed Furnished 2 Bedroom @1088 Richards-Available January 1st,2800,2,657,Richards Street
576,Pet Allowed Furnished 2 Bedroom@1088 Richards-Available January 1st,2800,2,657,Richards Street
577,"Available ASAP - Large, inner Street 3 BR by Renfrew/ E.15, pet ok",2600,3,1200,"Renfrew Street, East Vancouver"
578,Pet Allowed Furnished 2 Bedroom + Den 1088 Richards-Available Jan 1st,2800,2,657,Richards Street
579,Pet Welcome Furnished Studio @ 939 Homer - Available January 1st,2300,NA,439,Homer Street
580,PET FRIENDLY FURNISHED Studio @ 939 Homer Street - Available Jan 1st,2300,NA,439,"Homer Street, Yaletown"
581,NICELY FURNISHED Studio @ 939 Homer Street - Available January 1st,2300,NA,439,"Homer Street, Yaletown"
582,Pet Friendly Furnished Studio @ 939 Homer - Available January 1st,2300,NA,439,Homer Street
583,2 Bedroom Basement Suite For Rent in East Vancouver,1500,2,560,East Vancouver
584,PRIVATE BRAND NEW ONE BEDROOM BASEMENT SUIT,1590,1,560,North Vancouver
585,PET WELCOME FURNISHED Studio @ 939 Homer - Available January 1st,2300,NA,439,"Homer Street, Yaletown"
586,Kits Coach House,4995,NA,1432,W 5th Avenue
587,South Granville ground floor suite,1595,1,700,W 14th Avenue
588,Available now,1550,1,575,W 14th Avenue
589,"Available December Studio , includes hot water North Vancouver",1195,NA,NA,North Vancouver
590,AVAILABLE JAN 1ST - PET WELCOME FURNISHED 2 BEDROOM @ 788 Hamilton,2900,2,630,Hamilton Street
591,AVAILABLE Jan 1st - PET WELCOME FURNISHED 2 BEDROOM @ 788 Hamilton,2900,2,630,Hamilton Street
592,1 bedroom Apt 5 mins walk from Joyce Stn.,1500,1,NA,Vanness Avenue
593,South Granville-5 Beds N Den N Flexes-Bright and Spacious House Avail.,4000,5,3300,Granville Street
594,1 Bedroom Yaletown<< UNFURNISHED,2200,1,550,Richards Street
595,Available Jan 1st - Pet Allowed Furnished Studio + Balcony@233 Robson,2050,NA,439,"Homer Street, Yaletown"
596,AVAILABLE NOW-PET WELCOME FURNISHED 1 BEDROOM @ Pendrell x Bute,1900,1,500,Barclay Street
597,Trump Tower-36F Gorgeous High-End 1 Bedroom VIEW Suite Available. Now,3500,1,650,Georgia Street
598,English Bay N' Alexandra Park-FURNISHED 1 Bed BAY View Unit Avail. NOW,2200,1,550,Bidwell Street
599,False Creek-Olympic Village-Brand New 1 Bdrm N' Den on 14F Avail. Now,2200,1,500,Columbia Street
600,Fully Furnished 2-B.R. + Den with breathtaking view,2750,2,855,NA
601,Coal Harbour-27F 3 Beds 2 Baths N' Solarium VIEW Unit Avail. NOW,3800,3,1150,Melville Street
602,POCO-Oxford Heights-3-Yr Private Home w/Pool-4 Beds N Den N 2 Kitchens,4500,NA,2700,Myrtle Way
603,In Heart of Downtown-Fully Renovated 1 Bdrm on 15F w/Great Amenities,2000,1,580,NA
604,Two  bedrooms basement suite in a single house,1400,2,750,Vancouver East
605,Pet Welcome Furnished Studio + Balcony@233 Robson - Available Jan 1st,2050,NA,439,"Homer Street, Yaletown"
606,bright corner unit Fully Furnished Dec 1st,2400,1,650,"Homer Street, Yaletown"
607,1 Bedroom and Den,1995,1,525,Seymour Street
608,Fully Furnished Apartment Rentals in Downtown/Yaletown Vancouver,1950,1,NA,Richards Street
609,2 BEDROOM/ 2 BATHROOM + DEN,4900,2,1311,"Cordova Street, Coal Harbour"
610,2 bed/2 bath in Fraserhood,2900,2,1000,East Vancouver
611,New Luxury 5 Bedrooms,4995,5,2500,NA
612,2 bed/2 bath in Fraserhood,2900,2,1000,Fraser Street
613,Brand New 3 bedroom Townhouse for rent,2600,3,1050,NA
614,Basement for rent $1700,1700,1,NA,Renfrew Heights
615,Pet Welcome Furnished 1 Bedroom @ 68 Smithe - AVAILABLE December 1st,2350,1,505,"Homer Street, Yaletown"
616,Shangri-La @ 1111 Alberni St 17th Floor One Bed/One Bath,3300,1,672,Alberni Street
617,Aquarius III 2bed/2bath/1den Yaletown High-Rise 189 Davie St,3000,2,885,"Davie Street, Yaletown"
618,AVAILABLE NOW - PET ALLOWED FURNISHED 1 BEDROOM @ Pendrell x Bute,1900,1,500,Bute Street
619,2 bedrooms 2 bathrooms 1 Den Furnished just Renovated,3550,2,870,NA
620,Luxury one bedroom + den,2500,1,592,NA
621,Coal Harbour Large Two Bedroom for Rent $4300,4300,2,1258,"Bayshore Drive, Coal Harbour"
622,Dunbar 3 Bedroom + den house,3495,3,1900,Dunbar Street
623,Large 1 bed + den + parking + storage,2250,1,705,"Homer Street, Yaletown"
624,Waterfront 2 br apartment at Woodwards stunning view Gastown Vancouver,3500,2,1050,Cordova Street
625,Newly updated 1 bedroom in Tinseltown Vancouver downtown Europa,2100,1,590,Keefer Place
626,Downtown 2 br apt for rent December,2900,2,NA,Howe Street
627,Two bedroom basement suite on East 61st Ave,1290,2,700,Fraser Street
628,* Commercial Drive - HIGH CEILINGS - character - CLAWFOOT TUB - BIG *,1700,1,NA,"Main Street, East Vancouver"
629,"2 Bedroom Furnished Bsmt Suite for Rent, Ideal for 2 Students.",1650,2,750,NA
630,2 bedroom townhouse close to Kits beach,4700,2,1350,"W Broadway, Kitselano"
631,AVAILABLE December 1st - Pet Friendly Furnished 1 Bedroom @ 38 Smithe,2350,1,529,Smithe Street
632,AVAILABLE December 1st - Pet Welcome Furnished 1 Bedroom  @ 38 Smithe,2350,1,529,Smithe Street
633,Fully furnished luxury one bedroom plus den,2500,1,592,NA
634,One Bedroom Penthouse,1795,1,NA,Larch Street
635,Bright Mt Pleasant Furnished Studio Suite for 6 month sublease,1550,NA,NA,Mt Pleasant  Rylie Park
636,"4 Bedrooms House Furnished Vancouver  - New, Close Skytrain, schools,",3950,4,2000,NA
637,Large 1 bedroom basement suite,1700,1,750,"W Broadway, Kitselano"
638,5BR+2Bath+1kitchen Character house(Dunbar @ West King Edward)  Whole H,3200,5,2600,Dunbar Street
639,Brand New 2 Bedroom 2.5 Bathroom 2 Car Wide Garage Townhouse,2200,2,1160,Surrey
640,Furnished Kitsilano 1 Bed with large private patio,2150,1,555,"W Broadway, Kitselano"
641,UBC Penthouse with roof-top patio,4000,3,1300,UBC
642,Ocean View! furnished suite in Coal Harbour Downtown,2850,2,NA,"North Vancouver, Coal Harbour"
643,1785 sq ft Townhouse 3 Bedrooms + Den + 3 Bathrooms quiet corner unit,4100,3,1785,West Vancouver
644,Gorgeous Executive 1 Bdrm Suite - Fully Furnished - Now Available!,2050,1,NA,NA
645,Furnished 3 bedroom home for rent,3800,3,1562,Vanness Avenue
646,<f0><U+009F><U+008E><U+0088><f0><U+009F><U+008E><U+0088>Vancouver Downtown Olympic Village 2Beds/2Bth/1Den<f0><U+009F><U+008E><U+0088>,3200,2,1100,NA
647,Large & Beautiful 1Bed 1 Bath -River View -680 SQFT,1800,1,680,Agnes Street
648,"1 BR Apartment ,$1500 inc util, close to beaches ,Broadway/Arbutus",1500,1,NA,"W Broadway, Kitselano"
649,BEST LOCATION Fully Furnished 1 Bedroom Cottage short or long term!,1650,1,800,West Vancouver
650,3 bedroom home for rent! FULLY FURNISHED,3800,3,1562,NA
651,3BD and Den in Concrete Lowrise,4900,3,1400,NA
652,Downtown Studio with City Views,1690,NA,400,NA
653,Water View 1 Bedroom+Den condo at Coal Habour in Downtown Vancouver,2350,1,NA,Coal Habour
654,New condo near Joyce SkyTrain Station,1750,1,NA,Vanness Avenue
655,New concrete building near Joyce Skytrain Station,1750,1,540,Ormidale Street
656,01 bedroom for rent,1000,1,NA,W 62nd Avenue
657,<U+25BA><U+25BA><U+25BA>YALETOWN 1 BED + DEN (pet friendly)<U+25C4><U+25C4><U+25C4>,2400,1,NA,"Homer Street, Yaletown"
658,"$2250 / 1br - 541ft2 - False Creek-Olympic Village, Bright 1 BR & Den",2250,1,541,NA
659,house for rent,3200,3,NA,W 8th Avenue
660,Brand new basement suite,2000,1,500,W 10th Avenue
661,Laneway House For Rent,1425,2,NA,E 60th Avenue
662,New 2 bedroom R+R,2400,2,864,River District
663,1 Bed Furnished Vancouver Downtown,1950,1,495,Hornby Street
664,New house upper level 3 bedroom 2 bathroom in Vancouver Killarney area,2650,3,1200,"Kerr Street, Killarney"
665,"Amazing Location, Spacious One Bedroom",1295,1,NA,Chestnut Street
666,West End Apartment for Rent,1950,1,600,Davis Street
667,Spacious one bedroom townhome heart of Kitsilano,1750,1,680,"W Broadway, Kitselano"
668,Three Bedroom Utilities Included,2650,3,1300,E 46th Avenue
669,New House basement for rent,1199,1,NA,NA
670,Two Bedroom Suite Utilities Included,1550,2,500,E 58th Avenue
671,renovated 2 Bedroom ground level suite for Rent,1500,2,800,Nanaimo Street
672,Luxury Downtown Vancouver 2 bedroom Coal Harbour waterfront,3950,2,1100,"Cordova Street, Coal Harbour"
673,Heritage 3 Bedroom Triplex,4300,3,1500,W 13th Avenue
674,"Two bedroom, two bath penthouse in Kitsilano",3000,2,NA,"W Broadway, Kitselano"
675,Upper unit in Perfect Family Home in Kerrisdale,2600,3,1679,"Vine Street, Kerrisdale"
676,2700/2 bed 2 bath condo kits,2700,2,950,"W Broadway, Kitselano"
677,Trendy Luxury 1BR+ Den in the heart of Mount Pleasant (8th and Quebec),2200,1,NA,Quebec Street
678,1 bedroom and 1 bath,2100,1,530,Cordova Street
679,Available immediately 3 Bedroom Upper Floor House,3900,3,NA,NA
680,Available immediately Bachelor Suite in South Vancouver,1250,NA,350,NA
681,Yaletown Chic Funished One Bedroom Plus Flex Room,2295,1,535,"Homer Street, Yaletown"
682,Prime Commercial Dr Location 2 bedroom Penthouse in Heritage Building,2200,2,NA,East Vancouver
683,Telus Garden 2-br/2-bath on 47th floor with water & city view,4300,2,925,Richards Street
684,Furnished 1 Bedroom and Den at Conference plaza,1900,1,554,Seymour Street
685,FURNISHED DOWNTOWN VANCOUVER LUXURY*PanoramicVIEW*KING+Q+OFFICE+2DECKS,5995,2,1350,NA
686,Olympic village,2000,NA,520,W 2nd Avenue
687,"Luxury Waterfront View Coal Harbor Condo 10th floor, furnished",2700,1,700,Broughton Street
688,upstair/Top floor,1850,2,NA,Knight Street
689,"Luxury Townhouse + Patio in Downtown, Coal Harbor, fully furnished",5800,2,1500,Bayshore Drive
690,2 bedroom Upperlevel suite Dentvile Squamish,1500,2,875,Squamish Dentville
691,LARGE 1 BEDROOM AVAILABLE DEC 1ST - $1800,1800,1,NA,Barclay Street
692,Downtown Studio Close to stations & Robson st.,1650,NA,NA,Haro Street
693,"Bright, spacious, freshly renovated gem in the heart of the West End",2200,1,723,Davie Street
694,1YrOld*LgLivRoom+DEN+DECK*WALL CENTRE Central Park*HRDWOOD BDROOM*POOL,1695,1,520,NA
695,Furnished 2 Bedroom - available December 1,1450,2,NA,E 2nd Avenue
696,FURNISHED*SUPREMELY PRIVATE*STUNNING VIEWS!+OFFICE*GYM*@ The PATINA!,4795,2,1100,NA
697,1 bedroom + den Arbutus Walk,2300,1,629,"W Broadway, Kitselano"
698,"+Rec rm+Sun rm/deck,1.5bath,WoodFL,park,BrentwoodMall,Transit<<",2500,3,1800,"Springer Street, Burnaby"
699,"1.5bath+Sunrm+recRm,deck,BigGarageWoodFL,park,school,BrentwoodMall,bus",2500,3,1600,"Springer Street, Burnaby"
700,Pet Friendly FURNISHED 1 Bedroom @ Pendrell x Bute Available NOW,1900,1,500,Pendrell Street
701,Pet Welcome FURNISHED 1 Bedroom @ Pendrell x Bute Available NOW,1900,1,500,Pendrell Street
702,2 bedroom suite,1600,2,700,East Vancouver
703,Pet Allowed FURNISHED 1 Bedroom @ Pendrell x Bute Available NOW,1900,1,500,Pendrell Street
704,Lovely basement suite,1050,2,750,NA
705,Cozy Bachelor Studio Upper Floor Suite Trendy Main St - Mount Pleasant,1175,1,NA,Mount Pleasant
706,GORGEOUS LOFT IN PRIME GASTOWN,2800,1,880,Gastown
707,<U+2605><U+2605><U+2605> YALETOWN 1 BED + DEN <U+2605><U+2605><U+2605>,2400,1,600,"Homer Street, Yaletown"
708,New unit High ceilings view GOOD deal TODAY/TOMORROW,2800,3,NA,NA
709,"Available now 2 bdrm , includes hot water Langley",1750,2,NA,Langley
710,SOUTH GRANVILLE- LGE TWO BEDROOM,2400,2,1300,Birch Street
711,3 bedrooms for rent close to Joyce skytrain,2100,3,1300,East Vancouver
712,2 br main floor,1500,2,1200,East Vancouver
713,(ORCA_REF#613-1133)YALETOWN DOWNTOWN 2BED 2BATH+DEN/SOLARIUM!!!!,3100,2,950,"Homer Street, Yaletown"
714,Bachelor suite for rent-Close to Joyce skytrain,900,NA,300,Vanness Avenue
715,Laneway House for rent in Vancouver Brand New,1800,2,700,NA
716,One Pacific @ Yaletown Downtown /one bedroom+ one flex room+ one den,2300,1,581,Smithe Street
717,HIGH CEILING FURNISHED LOFT IN YALETOWN,3200,1,700,Seymour Street
718,New 2-Bedroom Lane Way House for January,1800,2,NA,NA
719,2 bedroom main level - ideal for students,1900,2,NA,Vanness Avenue
720,Fully Furnished 2 Bedroom + 2 Bathroom - 837 W HASTINGS - Nov 15,3500,2,1170,"Cordova Street, Coal Harbour"
721,Pet Friendly Furnished Studio + Balcony @233 Robson-Available Jan 1st,2050,NA,439,Robson Street
722,<f0><U+009F><U+0094><U+0086> Beautiful Brand New 2 Bedroom Laneway Home in Vancouver East,2600,2,720,Anzio Drive
723,<f0><U+009F><U+0094><U+0086> UNIQUE || Artistic 2 Bedroom Condo for Rent in Coal Harbour,2790,2,1000,"Cordova Street, Coal Harbour"
724,<f0><U+009F><U+0094><U+0086> NEW BUILD || Beautiful 4 Bedroom 4 Bath House - Unfurnished,4800,4,1650,E 23Rd Avenuenue
725,Available January 1st - Pet Welcome Furnished 1 Bedroom @ 68 Smithe,2700,1,505,Smithe Street
726,Pet Welcome Furnished Studio @ 1540 Haro Street -NOW,1650,NA,450,Barclay Street
727,Pet Permitted Furnished Studio + Den@939 Homer - Available January 1st,2300,NA,439,"Homer Street, Yaletown"
728,Pet Welcome Furnished Studio + Den@939 Homer - Available January 1st,2300,NA,439,"Homer Street, Yaletown"
729,Available January 1st- Pet Welcome Furnished 2 Bedroom @ 788 Hamilton,2900,2,630,"Homer Street, Yaletown"
730,Nicely Furnished 2 Bedroom @ 1351 Continental - Available December 1st,2800,2,614,Barclay Street
731,Fantastic 2 Bdrm on Robson,2800,2,1200,Robson Street
732,Luxurious 2 Bedroom townhouse,5500,2,1844,NA
733,<f0><U+009F><U+0094><U+0086> Newly Renovated 5 Bedroom House in West Vancouver - Unfurnished,4600,5,3200,"Denis Road, West Vancouver"
734,FOR RENT: Spacious 5 beds / 2 bath detached home with backyard,2500,5,2600,Richmond
735,Available January 1st - Pet Friendly Furnished 1 Bedroom@ 38 Smithe,2700,1,529,Smithe Street
736,Available January 1st- PET FRIENDLY FURNISHED 2 Bedroom @1088 Richards,2800,2,657,Richards Street
737,Available December 1st - Pet Welcome Furnished 1 Bedroom @ 38 Smithe,2350,1,527,NA
738,Pet Allowed Furnished 2 Bedroom @ 1351 Continental - Available Dec 1st,2900,2,614,Barclay Street
739,Available  January 1st-PET FRIENDLY FURNISHED 2 Bedroom @1088 Richards,2800,2,657,NA
740,Pet Welcome Furnished 2 Bedroom @ 1351 Continental - Available Dec 1st,2800,2,614,Barclay Street
741,Available January 1st - PET WELCOME FURNISHED 2 Bedroom @1088 Richards,2800,2,657,Richards Street
742,Available January 1st - Pet Welcome Furnished 1 Bedroom @ 38 Smithe,2700,1,529,Smithe Street
743,Available January 1st - Pet Welcome Furnished 1 BEDROOM @ 38 Smithe,2700,1,529,NA
744,Nicely Furnished 2 Bedroom @ 1351 Continental - Available December1st,2900,2,614,NA
745,Pet Welcome Furnished 2 Bedroom @ 1351 Continental - Available Dec 1st,2900,2,614,NA
746,Pet Allowed Furnished 2 Bedroom @ 1351 Continental - Available Dec 1st,2900,2,614,NA
747,"Fully furnished, Pet friendly, hip artist live/work loft",3500,1,1050,Lorne Street
748,Available December 1st - Pet Welcome Furnished 1 Bedroom @ 68 Smithe,2350,1,505,Smithe Street
749,Available December 1 - Pet Welcome Furnished 1 Bedroom @ 68 Smithe,2350,1,505,NA
750,Pet Welcome Furnished Studio + Balcony @233 Robson- Available Jan 1st,2050,NA,439,Robson Street
751,Pet Welcome Furnished Studio @ 1540 Haro Street -NOWt,1650,NA,450,Barclay Street
752,Pet Friendly Furnished 1 Bedroom @ 1540 Haro - Available December 1st,1950,1,500,Haro Street
753,Available December 1st -Pet Friendly Furnished 1 Bedroom @ 1540 Haro,1950,1,500,Haro Street
754,1 bedroom laneway near Fraser $1400,1400,1,500,Fraser Street
755,Pet ok Furnished 2 Bedroom @ 788 Hamilton - Available January 1st,2900,2,630,"Homer Street, Yaletown"
756,Nicely Furnished 2 Bedroom @ 788 Hamilton - Available January 1st,2900,2,630,"Homer Street, Yaletown"
757,Pet Welcome Furnished Studio + Balcony @233 Robson- Available Dec 1st,2200,NA,439,Robson Street
758,Pet Friendly Furnished Studio + Balcony @233 Robson-Available Dec 1st,2200,NA,439,NA
759,Pet Welcome Furnished Studio + Balcony @233 Robson - Available Dec 1st,2200,NA,439,NA
760,Pet Allowed Furnished 1 Bedroom-Available December 1st - 1009 Harwood,2300,1,490,Harwood Street
761,4 Bedroom New House in Coquitlam Center- Walking to Skytrin,3500,4,NA,Coquitlam
762,Pet Allowed Furnished 1 Bedroom + Den Available Dec 1- 1009 Harwood,2300,1,490,NA
763,PET WELCOME FURNISHED 1 Bedroom @ Pendrell x Bute Available Dec 1st,1900,1,500,NA
764,Pet Friendly FURNISHED 1 Bedroom @ Pendrell x Bute Available Dec 1st,1900,1,500,Bute Street
765,Pet Allowed FURNISHED 1 BR @ Pendrell x Bute Available Dec 1st,1900,1,500,NA
766,Pet Permitted Furnished 1 Bedroom -Available December 1- 1009 Harwood,2300,1,490,NA
767,Pet Welcome FURNISHED 1 Bedroom @ Pendrell x Bute Available Dec 1st,1900,1,500,NA
768,Available December 1 - PET FRIENDLY FURNISHED STUDIO @ Pendrell x Bute,1700,NA,453,NA
769,Available December 1st- PET WELCOME FURNISHED STUDIO @ Pendrell x Bute,1700,NA,453,Bute Street
770,NICELY FURNISHED STUDIO @ Pendrell x Bute - Available December 1st,1700,NA,453,Barclay Street
771,Nicely Furnished Studio @ Pendrell x Bute - Available December 1st,1700,NA,453,NA
772,Available December 1s- PET FRIENDLY FURNISHED STUDIO @ Pendrell x Bute,1700,NA,453,NA
773,Pet Allowed Furnished Studio + Den@939 Homer - Available January 1st,2300,NA,439,"Homer Street, Yaletown"
774,X-LARGE FURNISHED 1 Bedroom @ Pendrell x Bute Available December 1st,2200,1,705,NA
775,Available January 1st - Pet Allowed Furnished 1 Bedroom @ 68 Smithe,2700,1,505,NA
776,Available  Tel: 604- 1st - Pet Welcome Furnished 1 Bedroom @ 38 Smithe,2700,1,529,Na
777,Available December 1st - Pet Welcome Furnished 1 Bedroom @ 38 Smithe,2350,1,529,NA
778,Available December 1st - Pet Permitted Furnished 1 Bedroom @ 38 Smithe,2350,1,529,NA
779,Available January 1st - Pet Friendly Furnished 1 Bedroom @ 68 Smithe,2700,1,505,NA
780,Pet Welcome Furnished Studio + Balcony @233 Robson - Available Jan 1st,2050,NA,439,Robson Street
781,Pet Friendly Furnished Studio + Balcony @233 Robson- Available Jan 1st,2050,NA,439,NA
782,"Beautiful 4 br House with LARGE patio, backyard and Family Room!",3300,4,NA,Granville Street
783,Available Jan 1st - Pet Allowed Furnished Studio + Balcony@233 Robson,2050,NA,439,Robson Street
784,Pet Welcome Furnished 1 Bedroom @ 68 Smithe - AVAILABLE January 1st,2700,1,505,"Homer Street, Yaletown"
785,Available Dec 1-Furnished 1 Bedroom with Den 1889 Alberni Lord Stanley,2600,1,483,Barclay Street
786,Available Jan 1st-Pet Friendly Furnished Studio + Balcony@233 Robson,2050,NA,439,NA
787,PET Allowed Furnished 1 Bedroom @ 1540 Haro - Available December 1st,1950,1,500,Haro Street
788,AVAILABLE NOW- PET WELCOME FURNISHED STUDIO @ 1540 Haro,1650,NA,450,NA
789,Room for rent Dec 1st,850,1,NA,NA
790,Room  with shared bathroom in character building,650,NA,NA,Alexander Street
791,PET ALLOWED FURNISHED STUDIO @ 1540 Haro - AVAILABLE NOW,1650,NA,450,NA
792,Available Dec 1st-Pet Friendly Furnished Studio + Balcony@233 Robson,2200,NA,439,NA
793,Available Dec 1st - Pet Allowed Furnished Studio + Balcony@233 Robson,2200,NA,439,NA
794,PET ALLOWED FURNISHED STUDIO @ 1540 Haro - AVAILABLE NOW,1700,NA,450,NA
795,PET WELCOME FURNISHED STUDIO @ 1540 Haro - AVAILABLE NOW,1700,NA,450,NA
796,NICELY X-LARGE FURNISHED 1 BEDROOM @ Pendrell x Bute Available Dec 1st,2200,1,705,Pendrell  Bute
797,AVAILABLE Dec 1 -PET FRIENDLY X-LARGE FURNISHED 1 BR @ Pendrell x Bute,2200,1,705,Barclay Street
798,AVAILABLE December 1st -PET OK FURNISHED 1 BEDROOM @ Pendrell x Bute,1900,1,500,NA
799,UBC 1 BLK past Safeway on 10th,1475,1,575,UBC
800,Apartment with Full Glass Window & Balcony,2600,2,NA,"Homer Street, Yaletown"
801,AVAILABLE Dec 1 -PET FRIENDLY FURNISHED 1 BEDROOM @ Pendrell x Bute,1900,1,500,Pendrell Street
802,AVAILABLE Dec 1st - Pet Welcome Furnished 2 Bedroom @ 1351 Continental,2900,2,614,NA
803,Pet Welcome Furnished Studio + Balcony@233 Robson - Available Dec 1st,2200,NA,439,"Homer Street, Yaletown"
804,Available Dec 1st - Pet Allowed Furnished Studio + Balcony@233 Robson,2200,NA,439,NA
805,Available Dec 1st - Pet Friendly Unfurnished 2 Bedroom @ 1068 Hornby,4200,2,1144,Hornby Street
806,AVAILABLE Dec 1st-PET WELCOME LARGE FURNISHED 1 BR @ Pendrell x Bute,2200,1,679,Barclay Street
807,"Yaletown One Bedroom & Den at Gallery - New Laminate, New Paint",1995,1,538,"Homer Street, Yaletown"
808,Rhythm 207 - 2 Bed 2 Bath with Yard Space,2180,2,894,E Kent Avenue
809,modern funished condo Dec to March only,1250,1,638,NA
810,AVAILABLE Dec 1 -PET FRIENDLY FURNISHED 1 BR @ Pendrell x Bute,1900,1,500,Bute Street
811,AVAILABLE Dec 1st-PET WELCOME FURNISHED 1 BEDROOM @ Pendrell x Bute,1900,1,500,NA
812,Available Dec 1st - Pet Welcome Unfurnished 2 Bedroom @ 1068 Hornby,4200,2,1144,Hornby Street
813,AVAILABLE Dec 1st-PET WELCOME X-LARGE FURNISHED 1 BR @ Pendrell x Bute,2200,1,705,NA
814,Available Dec 1st - Pet Permitted Unfurnished 2 Bedroom @ 1068 Hornby,4200,2,1144,NA
815,AVAILABLE Dec 1st -PET FRIENDLY FURNISHED 1 BEDROOM @ 1009 HARWOOD,2300,1,490,NA
816,AVAILABLE Dec 1st-PET PERMITTED FURNISHED 1 BEDROOM @ 1009 HARWOOD,2300,1,490,NA
817,AVAILABLE Dec 1st -PET WELCOME FURNISHED 1 BEDROOM @ 1009 HARWOOD,2300,1,490,Harwood Street
818,Pet Welcome Unfurnished 2 Bedroom @ 1405 Haro Street Available Dec 1st,2800,2,829,Haro Street
819,Pet Welcome Furnished 2 Bedroom @ 1405 Haro Street Available Dec 1st,2900,2,829,NA
820,AVAILABLE December 1st - Pet Friendly FURNISHED 1 Bedroom @ 1540 Haro,1950,1,500,Haro Street
821,AVAILABLE December 1st - Pet Allowed FURNISHED 1 Bedroom @ 1540 Haro,1950,1,500,NA
822,AVAILABLE December 1st - NICELY FURNISHED 1 Bedroom @ 1540 Haro Street,1950,1,500,NA
823,AVAILABLE NOW - Pet Welcome Furnished Studio @ 1540 Haro,1700,NA,450,NA
824,Pet Welcome Unfrnished 2 Bedroom @ 1405 Haro Street Available Dec 1st,2800,2,829,Barclay Street
825,AVAILABLE December 1ST-PET OK X LARGE FURNISHED 1 BR @ Pendrell x Bute,2200,1,705,NA
826,"6+ MONTHS SHORT-TERM LEASE of a 3BR HOUSE w/ Deck, Garden, and Garage",2750,3,1114,E 7th Avenue
827,Available Dec 1st - X-Large Furnished One Bedroom @ Pendrell x Bute,2200,1,705,NA
828,Furnished 1 Bedroom @ 1889 Alberni Lord Stanley Available December 1st,2600,1,483,Alberni Street
829,Pet Welcome Furnished 1 Bedroom @1889 Alberni - Available December 1st,2600,1,483,NA
830,AVAILABLE DEC 1ST -PET OK X LARGE FURNISHED 1 BR @ Pendrell x Bute,2200,1,705,NA
831,Pet Welcome Furnished Studio + Balcony@233 Robson -Available Dec 1st,2200,NA,439,NA
832,Davie Village,1250,NA,NA,Barclay Street
833,***Fully Furnished 3BD & 2BA Corner Suite Available Nov 24th***,3800,3,1200,"Homer Street, Yaletown"
834,Amazing Waterfront 3BD 2BA Corner Suite w/ Large Patio Available Now,3800,3,1200,"Homer Street, Yaletown"
835,Pet Friendly Furnished 2 Bedroom@1283 Howe - Available January 1st,2800,2,602,Howe Street
836,"""Crossroad"" - 1 bedroom + den",1800,1,640,NA
837,AVAILABLE NOW - Pet Friendly Furnished Studio @ 1540 Haro,1700,NA,450,Haro Street
838,AVAILABLE NOW - Pet Allowed Furnished Studio @ 1540 Haro,1700,NA,450,NA
839,Pet Friendly Furnished 2 Bedroom@1283 Howe - Available January 1st,2800,2,592,Howe Street
840,Downtown Fully Furnished 1 BR Condo,2200,1,500,NA
841,Pet Welcome Furnished 1 Bedroom@1283 Howe - Available January 1st,2550,1,497,Howe Street
842,Pet Welcome Furnished 1 Bedroom@1283 Howe Tate -Available January 1st,2400,1,456,NA
843,Pet Welcome Furnished 1 Bedroom@1283 Howe - Available January 1st,2400,1,482,Na
844,Pet Welcome Furnished 2 Bedroom@1283 Howe - Available January 1st,2800,2,623,NA
845,Basement Suite for Rent,1100,1,NA,NA
846,Two bedrooms,1200,NA,NA,E 23rd Avenue
847,Luxury Furnished Yaletown 1 Bed + Den w/ Parking + Storage!,2400,1,610,Richards Street
848,Luxury Furnished Yaletown 1 Bed w/ Parking + Storage! Available NOW!,2400,1,610,Richards Street
